question	queries	links
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	IEC 61649 Weibull analysis standard cycles	['https://webstore.iec.ch/en/publication/5698) вЂ” iec.c', 'https://www.bsbedge.com/standard/weibull-analysis-iec-61649-2008/IEC41794) вЂ” bsbedge.co', 'https://www.boutique.afnor.org/en-gb/standard/iec-616492008/weibull-analysis/xs116244/2060) вЂ” afnor.or', 'https://standards.globalspec.com/std/1104001/iec-61649) вЂ” globalspec.co', 'https://store.accuristech.com/standards/iec-61649-ed-2-0-b-2008?product_id=1574709) вЂ” accuristech.co', 'https://www.intertekinform.com/en-us/standards/iec-61649-2-0-567942_saig_iec_iec_1296372/) вЂ” intertekinform.co', 'https://www.vde-verlag.de/iec-standards/214854/iec-61649-2008.html) вЂ” vde-verlag.d', 'https://infostore.saiglobal.com/store/details.aspx/Details.aspx?productID=1019549) вЂ” saiglobal.co', 'https://www.sis.se/api/document/preview/572595/) вЂ” sis.s']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	Weibull characteristic life eta 63.2% expected value mean	['https://reliamag.com/articles/weibull-analysis/) вЂ” reliamag.co', 'https://support.ptc.com/help/wrr/r12.0.2.0/en/wrr/PractitionersGuide/UnderstandingWeibullAnalysis.html) вЂ” ptc.co', 'https://www.holisticam.com.au/what-is-weibull-analysis/) вЂ” holisticam.com.a', 'https://www.6sigma.us/six-sigma-in-focus/weibull-distribution/) вЂ” 6sigma.u', 'https://www.machinedesign.com/automation-iiot/article/21831580/unlocking-weibull-analysis) вЂ” machinedesign.co', 'https://help.reliasoft.com/articles/content/hotwire/issue120/relbasics120.htm) вЂ” reliasoft.co', 'https://help.reliasoft.com/weibull21/content/one_factor_reliability_designs__example.htm) вЂ” reliasoft.co', 'https://weibull.readthedocs.io/en/v0.0.11/briefintro.html) вЂ” readthedocs.i', 'https://help.reliasoft.com/reference/life_data_analysis/lda/the_weibull_distribution.html) вЂ” reliasoft.co', 'https://faculty.washington.edu/fscholz/Reports/weibullanalysis.pdf) вЂ” washington.ed']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	"""failure rate"" reciprocal MTBF exponential distribution wikipedia"	['https://fiveable.me/introduction-to-probabilistic-methods-in-mathematics-and-the-sciences/unit-11/reliability-theory-failure-time-distributions/study-guide/c3Ww8w3bSBCyZLGw) вЂ” fiveable.m', 'https://en.wikipedia.org/wiki/Mean_time_between_failures) вЂ” wikipedia.or', 'https://help.synthesisplatform.net/rcm8/a_note_about_the_exponential_distribution_(failure_rate_or_mtbf).htm) вЂ” synthesisplatform.ne', 'https://help.reliasoft.com/reference/life_data_analysis/lda/the_exponential_distribution.html) вЂ” reliasoft.co', 'https://www.vaia.com/en-us/textbooks/math/probability-and-statistics-for-engineers-and-scientists-8-edition/chapter-6/problem-64-the-life-of-a-certain-type-of-device-has-an-adver/) вЂ” vaia.co', 'https://en.wikipedia.org/wiki/Failure_rate) вЂ” wikipedia.or', 'https://www.reliasoft.com/resources/resource-center/limitations-of-the-exponential-distribution-for-reliability-analysis) вЂ” reliasoft.co', 'https://www.mathpages.com/home/kmath498/kmath498.htm) вЂ” mathpages.co', 'https://web.iitd.ac.in/~arunku/files/CEL899_Y13/Failure_rate.pdf) вЂ” iitd.ac.i', 'https://accendoreliability.com/using-the-exponential-distribution-reliability-function/) вЂ” accendoreliability.co']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	MIL-HDBK-217 cycle-based failure switches relays	['https://aldservice.com/MIL-HDBK-217.html?channel=paidsearchRAMC) вЂ” aldservice.co', 'https://aldservice.com/reliability/mil-hdbk-217.html) вЂ” aldservice.co', 'https://reliabilityeducation.com/intro-mil217.html) вЂ” reliabilityeducation.co', 'https://nomtbf.com/wp-content/uploads/2015/01/MIL-HDBK-217F-Notice2.pdf) вЂ” nomtbf.co', 'https://aldservice.com/reliability/217-plus.html) вЂ” aldservice.co', 'https://relyence.com/products/reliability-prediction/standards/) вЂ” relyence.co']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	Weibull distribution wikipedia fatigue life characteristic	['https://www.electronics-cooling.com/2023/01/statistics-corner-weibull-distribution/) вЂ” electronics-cooling.co', 'https://support.ptc.com/help/wrr/r12.0.2.0/en/wrr/PractitionersGuide/UnderstandingWeibullAnalysis.html) вЂ” ptc.co', 'https://www.mdpi.com/2076-3417/10/18/6384) вЂ” mdpi.co', 'https://www.nature.com/articles/s41598-023-44907-9) вЂ” nature.co', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10579224/) вЂ” nih.go', 'https://pmc.ncbi.nlm.nih.gov/articles/PMC10579224/) вЂ” nih.go', 'https://www.researchgate.net/figure/The-Weibull-parameters-for-fatigue-life_tbl1_335178345) вЂ” researchgate.ne']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	NIST engineering statistics handbook Weibull distribution cycles fatigue	['https://www.statisticshowto.com/weibull-distribution/) вЂ” statisticshowto.co', 'https://www.uyemura.com/articles/using-the-weibull-distribution-to-model-reliability-data.html) вЂ” uyemura.co', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10579224/) вЂ” nih.go', 'https://www.mdpi.com/2076-3417/10/18/6384) вЂ” mdpi.co', 'https://arxiv.org/pdf/2212.04550) вЂ” arxiv.or', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7288318/) вЂ” nih.go']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	"""Weibull distribution"" wikipedia reliability engineering scale parameter"	['https://www.6sigma.us/six-sigma-in-focus/weibull-distribution/) вЂ” 6sigma.u', 'https://vrcacademy.com/tutorials/weibull-distribution/) вЂ” vrcacademy.co', 'https://en.wikipedia.org/wiki/Weibull_distribution) вЂ” wikipedia.or', 'https://www.uyemura.com/articles/using-the-weibull-distribution-to-model-reliability-data.html) вЂ” uyemura.co', 'https://weibull.readthedocs.io/en/v0.0.11/briefintro.html) вЂ” readthedocs.i', 'https://www.allaboutcircuits.com/technical-articles/how-the-Weibull-distribution-is-used-in-reliability-engineering/) вЂ” allaboutcircuits.co', 'https://help.reliasoft.com/reference/life_data_analysis/lda/the_weibull_distribution.html) вЂ” reliasoft.co', 'https://reliabilityanalyticstoolkit.appspot.com/weibull_distribution) вЂ” appspot.co', 'https://byjus.com/maths/weibull-distribution/) вЂ” byjus.co']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	"NIST handbook Weibull ""1.6.1.2"" reliability life data"	['https://reliabilityanalyticstoolkit.appspot.com/weibull_analysis) вЂ” appspot.co', 'https://www.itl.nist.gov/div898/handbook/apr/section1/apr162.htm?utm_=) вЂ” nist.go', 'https://www.itl.nist.gov/div898/handbook/eda/section3/eda3668.htm) вЂ” nist.go', 'https://arxiv.org/pdf/2206.01446) вЂ” arxiv.or', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5069269/) вЂ” nih.go', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/7184932) вЂ” uspto.go', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/8234093) вЂ” uspto.go', 'https://arxiv.org/pdf/1803.01156) вЂ” arxiv.or', 'https://www.itl.nist.gov/div898/handbook/apr/section4/apr413.htm) вЂ” nist.go']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	Palmgren-Miner linear damage rule Wikipedia	['https://www.engineersedge.com/material_science/miners_rule_linear_damage_rule_15356.htm) вЂ” engineersedge.co', 'https://en.wikipedia.org/wiki/Fatigue_(material)) вЂ” wikipedia.or', 'https://www.quadco.engineering/en/know-how/an-overview-of-the-palmgren-miner-rule.htm) вЂ” quadco.engineerin', 'https://www.sciencedirect.com/topics/engineering/miner-linear-damage-rule) вЂ” sciencedirect.co', 'https://www.sciencedirect.com/topics/engineering/palmgren-miner-rule) вЂ” sciencedirect.co', 'https://apps.dtic.mil/sti/tr/pdf/ADA066457.pdf) вЂ” dtic.mi', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11511374/) вЂ” nih.go', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8341528/) вЂ” nih.go']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	Miner's rule cumulative damage 1/N fraction per cycle	['https://www.regalrexnord.com/regal-rexnord-insights/what-is-miners-rule) вЂ” regalrexnord.co', 'https://www.engineersedge.com/material_science/miners_rule_linear_damage_rule_15356.htm) вЂ” engineersedge.co', 'https://www.quadco.engineering/en/know-how/an-overview-of-the-palmgren-miner-rule.htm) вЂ” quadco.engineerin', 'https://help.reliasoft.com/articles/content/hotwire/issue116/hottopics116.htm) вЂ” reliasoft.co', 'https://fiveable.me/elements-mechanical-engineering-design/unit-7/cumulative-damage-miners-rule/study-guide/6wWhLJkKR4DqnT0i) вЂ” fiveable.m', 'https://engineerfix.com/what-is-miners-rule-for-fatigue-and-cumulative-damage/) вЂ” engineerfix.co', 'https://www.sciencedirect.com/topics/engineering/palmgren-miner-rule) вЂ” sciencedirect.co', 'https://www.sciencedirect.com/topics/engineering/miner-linear-damage-rule) вЂ” sciencedirect.co', 'https://arxiv.org/pdf/2303.14504) вЂ” arxiv.or']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	"Miner 1945 ""Cumulative damage in fatigue"" Journal Applied Mechanics"	['https://asmedigitalcollection.asme.org/appliedmechanics/article/12/3/A159/1103202/Cumulative-Damage-in-Fatigue) вЂ” asme.or', 'https://ui.adsabs.harvard.edu/abs/1945JAM....12A.159M/abstract) вЂ” harvard.ed', 'https://www.scirp.org/(S(351jmbntvnsjt1aadkposzje))/reference/ReferencesPapers.aspx?ReferenceID=1754154) вЂ” scirp.or', 'https://www.oalib.com/references/14469452) вЂ” oalib.co', 'https://www.scirp.org/(S(351jmbntvnsjt1aadkposzje))/reference/ReferencesPapers.aspx?ReferenceID=1751417) вЂ” scirp.or', 'https://link.springer.com/chapter/10.1007/978-3-642-99854-6_35) вЂ” springer.co', 'https://www.engineersedge.com/material_science/miners_rule_linear_damage_rule_15356.htm) вЂ” engineersedge.co', 'https://scite.ai/reports/10.1115/1.4009458) вЂ” scite.a', 'https://asmedigitalcollection.asme.org/appliedmechanics/article-pdf/13/2/A170/6745253/a169_2.pdf) вЂ” asme.or', 'https://asmedigitalcollection.asme.org/appliedmechanics/article/13/2/A169/1103344/Discussion-Cumulative-Damage-In-Fatigue-Miner-M-A) вЂ” asme.or']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	ASTM E1049 rainflow counting standard fatigue	['https://sdcverifier.com/structural-engineering-101/rainflow-counting-approach/) вЂ” sdcverifier.co', 'https://fatigue-life.com/rainflow-counting/) вЂ” fatigue-life.co', 'https://store.astm.org/e1049-85r17.html) вЂ” astm.or', 'https://en.wikipedia.org/wiki/Rainflow-counting_algorithm) вЂ” wikipedia.or', 'https://onlinepubs.trb.org/Onlinepubs/trr/1991/1307/1307-009.pdf) вЂ” trb.or', 'https://www.astm.org/standards/e1049) вЂ” astm.or', 'https://pypi.org/project/rainflow/) вЂ” pypi.or', 'https://www.mathworks.com/matlabcentral/fileexchange/90731-simple-fast-rainflow-counting-algorithm-astm-e1049-85-2017) вЂ” mathworks.co']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	"""Miner's rule"" Wikipedia formula ""n_i/N_i"" failure"	['https://www.engineersedge.com/material_science/miners_rule_linear_damage_rule_15356.htm) вЂ” engineersedge.co', 'https://en.wikibooks.org/wiki/Advanced_Structural_Analysis/Part_I_-_Theory/Failure_Modes/Fatigue/Crack_Initiation/Loading/Load_Spectra/Miner-Palmgren_rule) вЂ” wikibooks.or', 'https://www.regalrexnord.com/regal-rexnord-insights/what-is-miners-rule) вЂ” regalrexnord.co', 'https://en.wikipedia.org/wiki/Fatigue_(material)) вЂ” wikipedia.or', 'https://www.vaia.com/en-us/explanations/engineering/solid-mechanics/miners-rule/) вЂ” vaia.co', 'https://www.numberanalytics.com/blog/miners-rule-mechanics-of-materials) вЂ” numberanalytics.co', 'https://www.quadco.engineering/en/know-how/an-overview-of-the-palmgren-miner-rule.htm) вЂ” quadco.engineerin', 'https://www.sciencedirect.com/topics/engineering/miner-linear-damage-rule) вЂ” sciencedirect.co', 'https://arxiv.org/pdf/2303.14504) вЂ” arxiv.or']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	fatigue damage scatter variability cycle Palmgren Miner average	['https://en.wikipedia.org/wiki/Fatigue_(material)) вЂ” wikipedia.or', 'https://www.engineersedge.com/material_science/miners_rule_linear_damage_rule_15356.htm) вЂ” engineersedge.co', 'https://www.researchgate.net/publication/369599812_A_new_short-time_procedure_for_fatigue_life_evaluation_based_on_the_linear_damage_accumulation_by_Palmgren-Miner) вЂ” researchgate.ne', 'https://blog.truegeometry.com/tutorials/education/517283c41c7ada6a265ed641662c7e54/JSON_TO_ARTCL_Fatigue_Damage_Accumulation_Models_Palmgren_Miner_Rule_and_Halfor.html) вЂ” truegeometry.co', 'https://www.sciencedirect.com/topics/engineering/miner-linear-damage-rule) вЂ” sciencedirect.co', 'https://www.quadco.engineering/en/know-how/an-overview-of-the-palmgren-miner-rule.htm) вЂ” quadco.engineerin', 'https://www.sciencedirect.com/topics/engineering/palmgren-miner-rule) вЂ” sciencedirect.co']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	efatigue.com Miner rule cumulative damage	['https://engineerfix.com/what-is-miners-rule-for-fatigue-and-cumulative-damage/) вЂ” engineerfix.co', 'https://www.engineersedge.com/material_science/miners_rule_linear_damage_rule_15356.htm) вЂ” engineersedge.co', 'https://help.reliasoft.com/articles/content/hotwire/issue116/hottopics116.htm) вЂ” reliasoft.co', 'https://fea-solutions.co.uk/cumulative-fatigue-damage/) вЂ” fea-solutions.co.u', 'https://fiveable.me/elements-mechanical-engineering-design/unit-7/cumulative-damage-miners-rule/study-guide/6wWhLJkKR4DqnT0i) вЂ” fiveable.m', 'https://www.sciencedirect.com/topics/engineering/miner-linear-damage-rule) вЂ” sciencedirect.co', 'https://www.quadco.engineering/en/know-how/an-overview-of-the-palmgren-miner-rule.htm) вЂ” quadco.engineerin']
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	"Palmgren 1924 ""Die Lebensdauer von Kugellagern"" ball bearings durability"	['https://link.springer.com/chapter/10.1007/978-3-662-25358-8_14) вЂ” springer.co', 'https://link.springer.com/chapter/10.1007/978-3-662-38362-9_14) вЂ” springer.co', 'https://www.matec-conferences.org/articles/matecconf/ref/2018/24/matecconf_fatigue2018_17008/matecconf_fatigue2018_17008.html) вЂ” matec-conferences.or', 'https://link.springer.com/chapter/10.1007/978-3-662-25356-4_3) вЂ” springer.co', 'https://www.scirp.org/(S(351jmbntvnsjt1aadkposzje))/reference/ReferencesPapers.aspx?ReferenceID=1754153) вЂ” scirp.or', 'https://link.springer.com/article/10.1007/s12206-017-1210-1) вЂ” springer.co', 'https://link.springer.com/chapter/10.1007/978-3-7091-8913-9_12) вЂ” springer.co', 'https://www.oalib.com/references/13103879) вЂ” oalib.co', 'https://www.oalib.com/references/14324278) вЂ” oalib.co', 'https://archive.org/stream/nasa_techdoc_19710009534/19710009534_djvu.txt) вЂ” archive.or']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""Flumag"" steelmaking flux fluorspar"	['https://brucite.plus/en/catalog/products/flux-for-converters/', 'https://brucite.plus/en/catalog/products/flux-for-electric-arc-furnace/', 'https://www.stichtingalmerefilm.nl/2016-10-20181.html', 'https://brucite.plus/en/services/steelmaking/', 'https://brucite.plus/en/catalog/flumag/', 'https://bruciteplus.cn/en/flux-for-electric-arc-furnace/', 'https://go.gale.com/ps/i.do?id=GALE%7CA501633133&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00260894&p=AONE&sw=w&userGroupName=anon~b0c08417', 'https://journal-vniispk.ru/0026-0894/article/view/240082', 'https://link.springer.com/article/10.1007/s11015-017-0477-x', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4014684']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""Flumag"" ladle slag conditioner MgO"	['https://www.sciencedirect.com/science/article/abs/pii/S0272884213002691', 'https://rabatec.ca/product/slag-conditioner-mgo/', 'https://imacroinc.com/imacro-artificial-slag-conditioners/', 'https://www.ferroglobe.com/solutions/other-products', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/7914599', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4790872', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4842642']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""Flumag"" Almamet Possehl fluorspar substitute"	['https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11560839/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10449907/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11869288/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4374810', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4288315']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""FluMag"" ladle refractory heats lining service life"	['https://www.firebirdref.com/refractory-lining-guide-for-industrial-furnaces/', 'https://magnesiacarbonbricklmm.com/flame-gunning-of-the-refractory-lining-of-a-steelmaking-ladle/', 'https://www.lmmgroupcn.com/steel-ladle-service-life-tips/', 'https://www.lmmgroupcn.com/key-factors-impacting-ladle-refractory-materials-lifespan/', 'https://www.castablerefractory.com/industry_News/steel-ladle-refractorines-damage-causes.html', 'https://xintairefractory.com/how-to-choose-the-right-refractory-lining-for-ladle-refining-equipment/', 'https://www.castablerefractory.com/industry_News/damage-causes-refractory-materials-ladle.html']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""Flumag"" Vozchikov Demidov Filatov metallurgist 2017"	['https://journal-vniispk.ru/0026-0894/article/view/240082', 'https://go.gale.com/ps/i.do?id=GALE%7CA501633133&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00260894&p=AONE&sw=w&userGroupName=anon~b0c08417', 'https://link.springer.com/article/10.1007/s11015-017-0477-x']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""FluMag"" MgO content ""%"" composition specification"	['https://magnesiumoxidecementassociation.org/wp-content/uploads/2016/12/standard-spec-for-MgO-draft.pdf', 'https://brucite.plus/en/catalog/flumag/', 'https://www.lohmann-minerals.com/products/product-finder/magnesium-oxide-light/', 'https://www.oilpriceapi.com/commodities/fuel-oil-specifications', 'https://iocl.com/downloads/LSMGO_310320.pdf', 'https://pubchem.ncbi.nlm.nih.gov/compound/Magnesium-Oxide', 'https://www.americanelements.com/magnesium-oxide-1309-48-4', 'https://www.researchgate.net/publication/346454857_Effect_of_Flumag_M_Flux_on_Strength_Properties_of_Iron_Ore_Pellets', 'https://www.h2odistributors.com/product/flomag-granular-magnesium-oxide-media-half-bag/', 'https://iclgroupv2.s3.amazonaws.com/ipsite/wp-content/uploads/sites/1009/2018/04/Product-Specification-Technical-Grade-KP.pdf']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""Flumag"" fluorspar magnesite ladle slag"	['https://www.sciencedirect.com/science/article/abs/pii/S0272884221010919', 'http://www.indsolint.com/index.php?id=steelladles', 'https://imacroinc.com/imacro-artificial-slag-conditioners/', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4790872', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4842642', 'https://www.ferroglobe.com/solutions/other-products', 'https://link.springer.com/article/10.1007/s40831-022-00492-1', 'https://www.freepatentsonline.com/5397379.html', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5397379']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""Flumag-M"" brucite MgO sinter pellet"	['https://brucite.plus/en/catalog/flumag/', 'https://bruciteplus.cn/en/flux-for-blast-furnace/', 'https://brucite.plus/en/catalog/products/flux-for-blast-furnace/', 'https://brucite.plus/en/catalog/products/flux-for-electric-arc-furnace/', 'https://brucite.plus/en/catalog/products/flux-for-converters/', 'https://www.researchgate.net/publication/346454857_Effect_of_Flumag_M_Flux_on_Strength_Properties_of_Iron_Ore_Pellets', 'https://link.springer.com/article/10.1007/s11771-019-4249-6', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4356027']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"brucite flux ""lining life"" converter MgO saturation campaign heats"	['https://www.ispatguru.com/factors-affecting-lining-life-of-a-basic-oxygen-converter/', 'https://www.ispatguru.com/89-2/', 'https://www.ispatguru.com/refractory-lining-of-a-basic-oxygen-furnace/1000/', 'https://steelmakinglmm.com/en/faq-about-magnesia-carbon-mgo-c-bricks/', 'https://www.ispatguru.com/refractory-lining-of-a-basic-oxygen-furnace/', 'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9104201/']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""Flumag"" EAF slag foaming brucite trial industrial steel mill"	['https://link.springer.com/article/10.1007/s11015-017-0477-x', 'https://bruciteplus.cn/en/flux-for-electric-arc-furnace/', 'https://brucite.plus/en/catalog/products/flux-for-electric-arc-furnace/', 'https://brucite.plus/en/catalog/flumag/', 'https://brucite.plus/en/catalog/products/flux-for-blast-furnace/', 'https://bruciteplus.cn/en/flux-for-converters/', 'https://brucite.plus/en/catalog/products/flux-for-converters/', 'https://journal-vniispk.ru/0026-0894/article/view/240082', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/8764879']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	"""fluorspar"" CaF2 ladle refractory wear"	['https://rabatec.ca/product/fluorspar-caf2-acid-grade/', 'https://www.researchgate.net/publication/230409480_The_Effect_of_CaF2_in_the_Slag_in_Ladle_Refining', 'https://metalzenith.com/blogs/steel-production-processing-terms/flux-in-steelmaking-role-types-and-process-significance', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4790872', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4842642', 'https://www.researchgate.net/publication/324523156_Replacement_of_fluorspar_in_the_desulfurization_of_hot_metal', 'https://asi-alloys.com/pdf/ControlofSlag.pdf', 'https://www.researchgate.net/publication/358284748_Elimination_of_Fluorspar_Use_and_Reduction_in_Lime_Consumption_at_Ladle_Furnace_by_Reutilizing_Alumina-Rich_Ladle_Furnace_Slag', 'https://www.ispatguru.com/ladle-slag-and-its-role-in-secondary-steelmaking/']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	CaF2 attack MgO refractory dissolution	['https://www.sciencedirect.com/science/article/abs/pii/S0272884218310162', 'https://www.academia.edu/95323665/Mechanism_of_MgO_dissolution_in_MgF2_CaF2_MF_M_Li_or_Na_melts_Kinetic_analysis_via_in_situ_high_temperature_confocal_scanning_laser_microscopy_HT_CSLM_', 'https://www.researchgate.net/publication/230098829_Corrosion_mechanism_and_kinetic_behavior_of_MgO-C_refractory_material_in_contact_with_CaO-Al2O3-SiO2-MgO_slag', 'https://www.sciencedirect.com/science/article/abs/pii/S0272884219318115', 'https://www.researchgate.net/publication/269760609_Reactions_Between_MgO-C_Refractory_Molten_Slag_and_Metal', 'https://www.researchgate.net/publication/309543889_UsING_of_CALCIUM_MAGNESIUM_ALUMINATE_FLUX_WITH_HIGH_MGO_CONTENT_TO_IMPROVE_secondary_STEEL_LADLE_LIFE_TIME', 'https://link.springer.com/chapter/10.1007/978-3-031-50176-0_12', 'https://www.researchgate.net/publication/230345015_Corrosion_behaviors_of_zirconia_refractory_by_CaO-SiO2-MgO-_CaF2_slag', 'https://www.researchgate.net/figure/Dissolution-mechanism-of-alumina-inclusions-in-CaF2-Al2O3-CaO-MgO-SiO2-slag_fig2_309891222']
How does Flumag addition or Fluorospar addition influence ladle lifespan?	fluorspar ladle life heats reduction percent campaign	['https://scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532024000300004', 'https://link.springer.com/article/10.1007/s40831-022-00492-1', 'https://www.researchgate.net/publication/358284748_Elimination_of_Fluorspar_Use_and_Reduction_in_Lime_Consumption_at_Ladle_Furnace_by_Reutilizing_Alumina-Rich_Ladle_Furnace_Slag', 'https://www.semanticscholar.org/paper/Elimination-of-Fluorspar-Use-and-Reduction-in-Lime-Sarkar-Anand/3beab064eec62899a24a6315b62f3841ced75f4e', 'https://oxmaint.com/industries/steel-plant/ladle-furnace-secondary-metallurgy-maintenance', 'https://htr.rs/en/steel-ladle-lining-management-a-comparison-between-different-maintenance-technologies-to-increase-performance-reduce-refractory-consumption-and-waste-disposal-of-used-materials/', 'https://patents.google.com/patent/US4142887', 'https://www.ijert.org/innovation-in-steel-ladle-life-to-157-heats-at-rourkela-steel-plant-through-optimization-of-refractory-material-service-conditions', 'https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4431444']
