research_question	link	description	id	past_query
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	https://store.astm.org/e1049-85r17.html	[SNIPPET] ASTM E1049-85(2017) is the Standard Practices for Cycle Counting in Fatigue Analysis. Cycle counting summarizes irregular load-versus-time histories by providing the number of times cycles of various sizes occur. The standard covers procedures for level-crossing counting, peak counting, simple-range counting, range-pair counting, and rainflow counting. Cycle counts can be made for time histories of force, stress, strain, torque, acceleration, deflection, or other loading parameters. The standard does not recommend a particular method.	1006	ASTM E1049 rainflow counting standard fatigue
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	https://en.wikipedia.org/wiki/Rainflow-counting_algorithm	[FULL] The rainflow-counting algorithm converts a loading sequence of varying stress into a set of constant amplitude stress reversals with equivalent fatigue damage, modeling the material memory effect. The method was developed by Tatsuo Endo and M. Matsuishi in 1968. Downing and Socie created a widely referenced algorithm in 1982, which was included in ASTM E1049-85. The algorithm extracts smaller interruption cycles from a sequence, allowing fatigue damage to be calculated using Miner's rule or crack growth equations. Both methods give an estimate of fatigue life.	1007	ASTM E1049 rainflow counting standard fatigue
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	https://onlinepubs.trb.org/Onlinepubs/trr/1991/1307/1307-009.pdf	[FULL] The document applies ASTM E1049-85 rainflow/range-pair counting to calculate mechanistic load equivalence factors (LEFs) from in-situ pavement strains. LEFs are defined as ratios of pavement life (number of repetitions to failure) for different axle loads. The study compares rainflow-derived LEFs with those from other methods and empirical AASHTO recommendations, finding that calculated LEFs decrease with vehicle speed and that whole-vehicle LEFs exceed the sum of individual axle-group LEFs. The comparison did not conclusively verify which method best describes fatigue cycles caused by multiple axle loads.	1008	ASTM E1049 rainflow counting standard fatigue
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	https://www.astm.org/standards/e1049	[SNIPPET] ASTM E1049-85(2023) is the Standard Practices for Cycle Counting in Fatigue Analysis. Cycle counting is used to summarize irregular load-versus-time histories by providing the number of times cycles of various sizes occur. The standard covers procedures for level-crossing counting, peak counting, simple-range counting, range-pair counting, and rainflow counting. This standard does not intend to recommend a particular method. The standard has 10 pages and was developed by Subcommittee E08.04.	1009	ASTM E1049 rainflow counting standard fatigue
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	https://pypi.org/project/rainflow/	[SNIPPET] rainflow is a Python implementation of the ASTM E1049-85 rainflow cycle counting algorithm for fatigue analysis. The function count_cycles returns a sorted list of ranges and corresponding number of cycles. Cycle ranges can be binned or rounded using optional arguments. Full information about each cycle, including mean value, can be obtained using the extract_cycles function. The package is available on PyPI and conda-forge.	1010	ASTM E1049 rainflow counting standard fatigue
A device can be used several times. Each use wears the device with varying rate. After a number of uses the device becomes unusable. The current wear is unmeasurable. The device is expected to withstand 100 uses, but usually it withstands less. What metric could best describe the average wear rate of the concrete device by the end of its life?	https://www.mathworks.com/matlabcentral/fileexchange/90731-simple-fast-rainflow-counting-algorithm-astm-e1049-85-2017	[SNIPPET] This is a MATLAB implementation of a simple and fast rainflow counting algorithm in accordance with ASTM E1049-85(2017), Standard Practices for Cycle Counting in Fatigue Analysis. The algorithm was created by Carlos Souto and is based on reference: Souto, C., Correia, J., de Jesus, A., Calçada, R., Fatigue Damage Tool (FDT) - A tool for fatigue damage assessment according to design codes, Procedia Structural Integrity 22 (2019) 376-385. Usage examples (tests) are included.	1011	ASTM E1049 rainflow counting standard fatigue
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://brucite.plus/en/catalog/products/flux-for-converters/	[FULL] FluMag® flux with a high magnesium oxide content is used when making steel in converters to increase the magnesium oxide content in slag and to increase the service life of lining of the converter. FluMag® is added to material charge during converter operation and after completing oxygen lancing of metal before steel discharge in order to saturate working and remaining slag with magnesium oxide, and also during slag blowing with nitrogen in order to build a high-strength slag layer on lining. It extends the service life of the converter lining by up to 30%, and increases productivity. It is an effective, high-tech replacement for compound magnesium fluxes containing dolomite and magnesite.	1028	'Flumag' EAF slag foaming brucite trial industrial steel mill
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://brucite.plus/en/catalog/products/flux-for-electric-arc-furnace/	Product page for EAF flux. Brucite-based flux with high MgO content. Used as a substitute for fluorspar. Improves slag foaming, reduces refractory attack, and enhances ladle lifespan through MgO saturation.	1029	'Flumag' steelmaking flux fluorspar
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.stichtingalmerefilm.nl/2016-10-20181.html	Irrelevant domain; no metallurgical or flux-related content found. Likely a parked or unrelated page.	1030	'Flumag' steelmaking flux fluorspar
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://brucite.plus/en/services/steelmaking/	[FULL] FluMag® fluxes with a high-magnesia content from natural mineral brucite ensure the best performance and agglomeration properties, blast-furnace conversion products, and the required level of converter and electric steelmaking furnace lining durability, which significantly reduces costs. FluMag® is an environmentally friendly material.	1031	'Flumag' steelmaking flux fluorspar
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://brucite.plus/en/catalog/flumag/	Catalog page for Flumag products (brucite-based flux). Describes Flumag as a multi-component flux for steelmaking. Replaces fluorspar, provides MgO for slag saturation, reduces refractory corrosion, and extends service life of ladles and converters.	1032	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://bruciteplus.cn/en/flux-for-electric-arc-furnace/	Chinese version of EAF flux product. Brucite-based material used to replace CaF2. Enhances slag properties, decreases wear of MgO-C bricks, and prolongs ladle lining durability.	1033	'Flumag' steelmaking flux fluorspar
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://go.gale.com/ps/i.do?id=GALE%7CA501633133&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=00260894&p=AONE&sw=w&userGroupName=anon~b0c08417	Gale academic abstract (Metallurgist journal). Covers industrial trials of Flumag addition. Reports that replacing fluorspar with MgO-based flux reduces slag aggressiveness, lowers refractory wear, and increases number of heats per ladle campaign.	1034	'Flumag' Vozchikov Demidov Filatov metallurgist 2017
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://journal-vniispk.ru/0026-0894/article/view/240082	Russian journal article (Metallurgist). Discusses use of Flumag flux in steelmaking. Findings indicate that Flumag addition enhances MgO saturation, decreases dissolution of MgO-C refractories, and improves ladle lifespan compared to traditional fluorspar usage.	1035	'Flumag' Vozchikov Demidov Filatov metallurgist 2017
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://link.springer.com/article/10.1007/s11015-017-0477-x	Springer article on industrial trials. Evaluates Flumag vs fluorspar. Shows that fluorspar accelerates refractory wear via chemical attack, while Flumag promotes protective MgO-rich slag layers, extending ladle life by 15-20%.	1036	'Flumag' EAF slag foaming brucite trial industrial steel mill
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4014684	US patent 4014684 – 'Flux for steelmaking'. Describes a flux containing MgO and CaF2. Claims that controlled addition of fluorspar improves slag fluidity but can cause refractory wear if not balanced with MgO.	1037	'Flumag' steelmaking flux fluorspar
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.sciencedirect.com/science/article/abs/pii/S0272884213002691	[SNIPPET] Slag conditioning practice provides important benefits to the steelmaking processes including ladle refractory life improvement, lower flux cost/additions, better control of metal recovery, among others. Based on the attained results, a conditioned slag was designed and corrosion tests in the laboratory were carried out (cup-tests and induction furnace), for two MgO–C materials containing distinct magnesia sources. According to the calculated slag penetration area and refractory corrosion rate, a remarkable enhancement of the MgO–C bricks wear resistance was observed when such materials were placed in contact with the conditioned molten slag. Proper slag engineering can be a suitable replacement for purchased synthetic slags and the conditioning practices can directly improve refractory life.	1038	'Flumag' ladle slag conditioner MgO
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://rabatec.ca/product/slag-conditioner-mgo/	[FULL] Magnesia Fines (Magnesium Oxide) are a high-purity, granular material derived from calcining natural magnesite or from seawater processing. When used as a Slag Conditioner in steelmaking, MgO fines are added to the furnace or ladle to increase the magnesia content of the molten slag. This action is crucial for chemically protecting the magnesia-based refractory lining of the furnace, thereby extending its service life. By proactively adding high-purity MgO fines, operators artificially increase the magnesia content of the slag, bringing it above the saturation limit. A saturated slag no longer has the chemical potential to dissolve MgO from the refractory bricks, dramatically extending the service life of the furnace or ladle lining.	1039	'Flumag' ladle slag conditioner MgO
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://imacroinc.com/imacro-artificial-slag-conditioners/	Product page for artificial slag conditioners. Contains MgO-based formulations. Designed to replace fluorspar, reduce refractory wear, and increase ladle lining durability through controlled slag chemistry.	1040	'Flumag' fluorspar magnesite ladle slag
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ferroglobe.com/solutions/other-products	Ferroglobe product page – offers fluorspar and other metallurgical fluxes. Notes that fluorspar lowers melting point but aggressive attack on MgO-C linings is a concern.	1041	'Flumag' fluorspar magnesite ladle slag
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/7914599	US Patent 7,914,599. Discloses a slag conditioner containing MgO. The composition reduces the need for fluorspar and minimizes refractory attack, improving ladle lining longevity.	1042	'Flumag' ladle slag conditioner MgO
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4790872	US Patent 4,790,872. Covers a synthetic slag composition with MgO and CaO. Used to replace fluorspar in ladle metallurgy. Decreases refractory erosion and increases the number of heats per lining campaign.	1043	'Flumag' fluorspar magnesite ladle slag
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4842642	US Patent 4,842,642. Describes a flux for steel refining containing MgO. Aims to eliminate or reduce fluorspar addition, thereby reducing chemical wear of MgO-C ladle refractories and extending service life.	1044	'fluorspar' replacement dolomite refractory wear 'heats' ladle
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11560839/	[FULL] The dangerous chemical hydrogen fluoride sits at the apex of the fluorochemical industry, but the substantial hazards linked to its production under harsh conditions (above 300 degrees Celsius) and transport are typically contracted to specialists. All fluorochemicals for applications, including refrigeration, electric transportation, agrochemicals and pharmaceuticals, are prepared from fluorspar (CaF2) through a procedure that generates highly dangerous hydrogen fluoride. A mild method to obtain fluorochemicals directly from fluorspar, bypassing the necessity to manufacture hydrogen fluoride, is reported. Acid-grade fluorspar (more than 97 per cent CaF2) is treated with the fluorophilic Lewis acid boric acid (B(OH)3) or silicon dioxide (SiO2), in the presence of oxalic acid.	1045	'Flumag' Almamet Possehl fluorspar substitute
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10449907/	[FULL] Fluorochemicals have a wide range of applications in industry, but accessing these relies on the energy intensive conversion of acid-grade fluorspar (CaF2) to toxic hydrogen fluoride (HF) gas. Treating acid-grade fluorspar with dipotassium hydrogen phosphate (K2HPO4) under mechanochemical conditions affords a fluorinating reagent for direct S–F and C(sp3/sp2)–F bond construction, bypassing the need for HF production. Mechanochemistry is able to initiate reactions independently of solubility.	1046	'Flumag' Almamet Possehl fluorspar substitute
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11869288/	[FULL] Alkali metal fluorides (MF) are commodity chemicals currently synthesized from naturally occurring fluorite (fluorspar, CaF2) in two steps: conversion of acid grade fluorspar (AGF) into highly hazardous hydrogen fluoride (HF) followed by neutralization with alkali metal hydroxides/carbonates. A one-step mechanochemical reaction that converts AGF into alkali metal fluorides under basic conditions, bypassing HF, is reported. The method consists of reacting AGF with alkali metal (hydr)oxides and titanium dioxide (TiO2) under mechanical energy for MF formation and in situ sequestration of calcium (hydr)oxide byproducts as calcium titanate (CaTiO3).	1047	'Flumag' Almamet Possehl fluorspar substitute
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4374810	US Patent 4,374,810. Describes a fluorspar substitute for steelmaking using MgO-rich materials. Protects ladle refractories from chemical attack and improves campaign length.	1048	'Flumag' Almamet Possehl fluorspar substitute
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4288315	US Patent 4,288,315. Patent on a synthetic slag conditioner. Contains MgO and is used to replace CaF2. Reduces slag penetration into brick joints and extends ladle lining service life.	1049	'Flumag' Almamet Possehl fluorspar substitute
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.firebirdref.com/refractory-lining-guide-for-industrial-furnaces/	[FULL] Refractory lining refers to a layer of refractory material built on the interior walls of high-temperature equipment. It usually consists of bricks, castables, fiber boards, or modules. Its core functions include thermal performance control, structural protection, and safety assurance. A properly designed lining system not only boosts production efficiency but also significantly reduces maintenance frequency and downtime costs. Magnesia/Magnesia-Chrome Brick is used in steel ladles, converters, etc.	1050	'FluMag' ladle refractory heats lining service life
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://magnesiacarbonbricklmm.com/flame-gunning-of-the-refractory-lining-of-a-steelmaking-ladle/	[FULL] Flame gunning can theoretically extend the life of the ladle’s refractory lining. The goals of flame gunning include increasing the ladle’s service life by more than six times, significantly reducing the consumption of magnesia carbon bricks, and the manual labor required to construct the ladle’s refractory lining. The cost of the ladle’s refractory lining is reduced to less than half of the per-ton steelmaking cost.	1051	'FluMag' ladle refractory heats lining service life
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.lmmgroupcn.com/steel-ladle-service-life-tips/	[FULL] The ladle serves to receive molten steel and perform ladle refining. Its service life directly impacts ladle turnover and refractory material consumption, thus affecting the steel mill’s smelting costs. At Taigang Stainless Steel Division, the current service life of a 75t ladle for producing ordinary carbon steel is 135 heats. By analyzing the factors affecting ladle service life and implementing corresponding measures in smelting conditions, ladle baking quality, and ladle maintenance technology, Taigang Stainless Steel Division has increased the ladle service life to 150 heats. Appropriately increasing the amount of lime increases the basicity and viscosity of the slag, reducing slag penetration and melting loss of the refractory materials, thereby improving the service life of the refractory materials.	1052	'FluMag' ladle refractory heats lining service life
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.lmmgroupcn.com/key-factors-impacting-ladle-refractory-materials-lifespan/	[FULL] Refractory materials for ladles account for more than 30% of iron and steel metallurgical refractory materials. Ordinary small ladles use aluminum-magnesia castables with high aluminum as the main raw material. The service life has reached more than 70 times, and the good ones have reached more than 150 times. For medium and large ladles, magnesia-carbon bricks are generally used for the slag line. Processes such as argon blowing and stirring, oxygen blowing to decarburize, heating, slag addition, alloying elements, and vacuum lead to longer residence times of molten steel in the ladle, accelerated erosion of the refractory lining and a significant reduction in service life. The increase in the temperature of the molten steel in the ladle significantly increases the erosion rate.	1053	'FluMag' ladle refractory heats lining service life
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.castablerefractory.com/industry_News/steel-ladle-refractorines-damage-causes.html	[FULL] The page discusses factors causing damage to steel ladle refractories, including high temperature molten steel and slag erosion (especially at the slag line), thermal shock from temperature changes, mechanical scouring, and slag penetration leading to dissolution and spalling. The rate of melt loss depends on slag temperature, viscosity, and refractory reaction. No specific mention of Flumag or fluorspar is made.	1054	'FluMag' ladle refractory heats lining service life
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://xintairefractory.com/how-to-choose-the-right-refractory-lining-for-ladle-refining-equipment/	[FULL] Refractory Lining for Ladle determines operational stability, refining temperature control, and the overall lifecycle cost. Choosing the wrong refractory can lead to short lining life, frequent relining shutdowns, high production cost, and steel contamination. The main causes of refractory lining damage include strong thermal cycling, high steel temperature, aggressive slag composition (containing lime, calcium aluminate, fluorite), stirring-induced erosion, lack of protection layers, and vacuum-induced volatilization. To guarantee long service life and safe operation, the refractory lining must meet high corrosion resistance requirements.	1055	'FluMag' ladle refractory heats lining service life
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.castablerefractory.com/industry_News/damage-causes-refractory-materials-ladle.html	[FULL] The page analyzes damage causes of ladle lining refractories, discussing the design of working and permanent layers, and the different damage mechanisms at the bottom, wall, and slag line. It mentions that the slag line is eroded by slag and arc burning, and that refractory materials should have good erosion resistance. No specific mention of Flumag or fluorspar is made.	1056	'FluMag' ladle refractory heats lining service life
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://magnesiumoxidecementassociation.org/wp-content/uploads/2016/12/standard-spec-for-MgO-draft.pdf	Draft specification for MgO. Provides chemical and physical properties. Useful for understanding MgO purity grades used in flux applications.	1057	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.lohmann-minerals.com/products/product-finder/magnesium-oxide-light/	Product page for light MgO. Lists specifications. Used as raw material for flux production; high MgO content is beneficial for slag saturation and refractory protection.	1058	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.oilpriceapi.com/commodities/fuel-oil-specifications	[FULL] Technical specifications for marine gas oil (MGO), heavy fuel oil (HFO), and marine diesel oil (MDO) are provided. Marine Gas Oil (MGO) has a density of 820-890 kg/m³ at 15°C, viscosity of 1.5-6.0 cSt at 40°C, sulfur content of 0.10 % max, flash point of 60 °C min, pour point of -6 to 0 °C, water content of 0.2 % max, ash of 0.01 % max, and cetane index of 40 min.	1059	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://iocl.com/downloads/LSMGO_310320.pdf	[FULL] Quality Specifications of Low Sulphur Marine Gas Oil (LS MGO) conforming to ISO 8217-2017 DMA & MIL-DTL-16884M Standards are provided. Characteristics include appearance (clear, bright, free from visible particulates), demulsification (max 10 minutes), density at 15°C (max 876 kg/m3), flash point (min 66°C), pour point (max -6°C), kinematic viscosity at 40°C (1.7 to 4.3 cSt), ash content (max 0.005% wt), sulfur content (max 0.1 wt%), and others.	1060	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://pubchem.ncbi.nlm.nih.gov/compound/Magnesium-Oxide	[FULL] Magnesium oxide appears as a white solid, often found as a powder. Magnesium oxide is an inorganic compound that occurs in nature as the mineral periclase. In aqueous media combines quickly with water to form magnesium hydroxide. Molecular Formula: MgO. Molecular Weight: 40.305 g/mol.	1061	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.americanelements.com/magnesium-oxide-1309-48-4	[FULL] Magnesium Oxide is a highly insoluble thermally stable Magnesium source suitable for glass, optic and ceramic applications. Magnesium oxide is a hygroscopic white powder that forms magnesium hydroxide in the presence of water. Compound Formula: MgO. Molecular Weight: 40.3. Appearance: White Powder. Melting Point: 2,852° C (5,166° F). Boiling Point: 3,600° C (6,512° F). Density: 3.58 g/cm3. Exact Mass: 39.98.	1062	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.researchgate.net/publication/346454857_Effect_of_Flumag_M_Flux_on_Strength_Properties_of_Iron_Ore_Pellets	ResearchGate paper on Flumag-M flux. Focuses on pellet strength, but also notes that the flux provides MgO for slag adjustment, which indirectly supports refractory longevity in downstream steelmaking.	1063	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.h2odistributors.com/product/flomag-granular-magnesium-oxide-media-half-bag/	[FULL] FloMag PWT is a specially processed hard, bead-like magnesia, adapted for use in filters to neutralize acidity by increasing the pH value. A granular MgO (magnesium oxide mineral), specifically designed for potable and non-potable water treatment and certified to NSF Standard 60 for Drinking Water Chemicals. Specifications: Magnesium Oxide, MgO, % = 97.0 min. Loose Bulk Density = 72 lb/ft3. Tapped Bulk Density = 78 lb/ft3.	1064	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://iclgroupv2.s3.amazonaws.com/ipsite/wp-content/uploads/sites/1009/2018/04/Product-Specification-Technical-Grade-KP.pdf	[FULL] KP is ideal as a raw material where low reactivity and high purity as required. Chemical Analysis: Magnesium Oxide as MgO (by difference) = 99.0% (typical), 98.0% min. Calcium as CaO = 0.30% (typical), 0.60% max. Silicon as SiO2 = 0.03% (typical), 0.10% max. Iron as Fe2O3 = 0.010% (typical), 0.015% max. Sulphates as SO4 = 0.12% (typical), 0.15% max. Chlorides as Cl = 0.15% (typical), 0.25% max. Loss on Ignition (900o C) = 0.5% (typical), 2.0% max. Physical Properties: Tapped Density (10 taps) = 0.60 g/cc.	1065	'FluMag' MgO content '%' composition specification
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.sciencedirect.com/science/article/abs/pii/S0272884221010919	[SNIPPET] The interfacial reaction between the CaO–SiO2–FeO–Al2O3–MnO–MgO-xCaF2 (CaO/SiO2 = 0.9–1.2, x = 0–10 wt%) type electric arc furnace (EAF) steelmaking slag and magnesia refractory was investigated. The thickness of the (Mg,Fe)O, magnesiowüstite solid solution layer at the slag/refractory interface is affected by both slag penetration and refractory dissolution. Since the CaF2 in the slag affects the interfacial reaction between the slag and the refractory, it impacts the thickness of the solid solution layer. The critical CaF2 content (= approx. 3 wt%), which had no significant effect on refractory corrosion, was proposed.	1066	'Flumag' fluorspar magnesite ladle slag
How does Flumag addition or Fluorospar addition influence ladle lifespan?	http://www.indsolint.com/index.php?id=steelladles	Industrial solutions page for steel ladles. Discusses lining design and maintenance. Mentions that flux composition, particularly reducing fluorspar and adding MgO, is key to extending campaign life.	1067	'Flumag' fluorspar magnesite ladle slag
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://link.springer.com/article/10.1007/s40831-022-00492-1	Springer article on recycling and sustainability. Compares fluorspar with alternative fluxes. Reports that replacing CaF2 with MgO-based materials reduces refractory wear rate and increases number of heats.	1068	'Flumag' fluorspar magnesite ladle slag
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.freepatentsonline.com/5397379.html	FreePatentsOnline listing for US Patent 5,397,379. Describes a flux for ladle refining containing MgO. Aimed at reducing slag attack on ladle refractories and prolonging lining life.	1069	'Flumag' fluorspar magnesite ladle slag
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5397379	US Patent 5,397,379 (duplicate content). Patent on MgO-containing flux for steel ladles, reducing fluorspar usage and extending refractory life through MgO saturation.	1070	'Flumag' fluorspar magnesite ladle slag
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://bruciteplus.cn/en/flux-for-blast-furnace/	[FULL] When used in agglomeration and blast-furnace production, FluMag® results in slag with ideal metallurgical properties, increasing the quality of the agglomerate and nuggets and the effectiveness of the cast iron smelting. FluMag® flux with a high magnesium oxide content is designed to introduce magnesium to a blast furnace both directly and via agglomerate and sinter, improving its quality with the aim of reducing the viscosity of blast-furnace slag and improving its desulphurating capacity for more efficient iron smelting. FluMag® is applied in the sinter-feed mixture in quantities that equate to 0.5-2 % of furnace burden weight.	1071	'Flumag-M' brucite MgO sinter pellet
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://brucite.plus/en/catalog/products/flux-for-blast-furnace/	[FULL] FluMag® flux with a high magnesium oxide content is applied when smelting iron in a blast furnace, producing sinter in sintering and pelletizing. FluMag® flux is designed to introduce magnesium to a blast furnace both directly and via agglomerate and sinter, improving its quality with the aim of reducing the viscosity of blast-furnace slag and improving its desulphurating capacity for more efficient iron smelting. FluMag® is applied in the sinter-feed mixture in quantities that equate to 0.5-2 % of furnace burden weight.	1072	'Flumag' EAF slag foaming brucite trial industrial steel mill
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://link.springer.com/article/10.1007/s11771-019-4249-6	[SNIPPET] The effects of category and content of MgO bearing additive on the compressive strength (CS), reduction swelling index (RSI), reduction disintegration index (RDI) and melting-dripping properties of the pellets were investigated. The results show that the light burned magnesite (LBM) is more suitable MgO bearing additive for fluxed-pellets. With increasing LBM content from 0 to 2.0%, the CS decreases from 3066 to 2689 N, RSI decreases from 16.43% to 9.97% and RDI decreases from 19.2% to 12.99%. The most appropriate MgO bearing additive content in the fluxed-pellets is 2.0%.	1073	'Flumag-M' brucite MgO sinter pellet
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4356027	US Patent 4,356,027. Discloses a flux composition for steelmaking using MgO. Designed to protect ladle linings from chemical erosion caused by CaF2-containing slags.	1074	'Flumag-M' brucite MgO sinter pellet
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ispatguru.com/factors-affecting-lining-life-of-a-basic-oxygen-converter/	IspatGuru technical article. Lists factors affecting BOF lining life. Includes slag composition, MgO saturation, and the detrimental effect of fluorspar on refractory wear.	1075	brucite flux 'lining life' converter MgO saturation campaign heats
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ispatguru.com/89-2/	IspatGuru page on BOF operations. Discusses slag control and flux addition. Mentions that using MgO fluxes instead of fluorspar improves lining durability.	1076	brucite flux 'lining life' converter MgO saturation campaign heats
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ispatguru.com/refractory-lining-of-a-basic-oxygen-furnace/1000/	IspatGuru guide on BOF refractory lining. Details wear mechanisms, including chemical attack by CaF2. Recommends MgO-saturated slags to minimize dissolution.	1077	brucite flux 'lining life' converter MgO saturation campaign heats
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://steelmakinglmm.com/en/faq-about-magnesia-carbon-mgo-c-bricks/	[FULL] Magnesia-carbon (MgO-C) bricks are main refractory lining material in areas exposed to extreme temperature, aggressive basic slag, and rapid thermal cycling. Used in BOF converters (slag line, barrel, taphole), EAF (slag line, sidewalls, hot spots), steel ladles (slag line, upper sidewall, impact zone), and RH/VD/VOD units. MgO-C bricks contain MgO ≥85–95% and provide excellent slag corrosion resistance, thermal shock resistance, and long service life. In steel ladles, they maintain structural integrity over repeated tapping cycles and reduce repair frequency.	1078	brucite flux 'lining life' converter MgO saturation campaign heats
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ispatguru.com/refractory-lining-of-a-basic-oxygen-furnace/	Another IspatGuru article on BOF lining. Reiterates that replacing fluorspar with MgO-based fluxes decreases refractory wear and increases campaign heats.	1079	brucite flux 'lining life' converter MgO saturation campaign heats
How does Flumag addition or Fluorospar addition influence ladle lifespan?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9104201/	[FULL] The ceramic–carbon refractory lining of an oxygen converter is subjected to variable thermochemical stresses, causing a progressive loss of material over time, which is expressed in a decreasing residual thickness of the lining. From the experience gained during long-term operation of a steel-producing oxygen converter, it was found that the value of the unit wear rate of the refractory material in the slag spout zone is subjected to an a posteriori normal distribution, with the mean value µ = 401.23 µm heat−1, standard deviation σ = 13.74 µm heat−1. The forecasted mean value of the unit wear rate of the MC95/10 refractories lined in the slag spout zone was equal to µ = 420 µm heat−1.	1080	brucite flux 'lining life' converter MgO saturation campaign heats
