	research_question	link	description	id	past_query
184	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.globalefficiencyintel.com/new-blog/tag/Basic+Oxygen+Furnace	Blog post on BOF efficiency; highlights that post-combustion efficiency (heat transfer to bath) is around 60-70% for dual-flow lances, compared to 40-50% for single-flow, due to better CO oxidation close to bath surface.	184	Basic oxygen furnace high scrap ratio post combustion efficiency
185	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4010029	Patent for a BOF lance with adjustable nozzle angles to control jet impingement. Claims reduced skull formation by 25% when nozzle angle is set to 15° for high scrap ratios.	185	Basic oxygen furnace high scrap ratio post combustion efficiency
186	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/354174873_Supersonic_jet_characteristics_of_two_parameter_oxygen_lance_nozzle	Study on supersonic nozzle design for Mach 2.0 operation. Finds that Laval nozzles with expansion ratio 1.5-1.7 produce well-defined jets with minimal spreading, improving penetration and reducing skulling.	186	BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design
187	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/272251651_Behaviours_of_supersonic_oxygen_jet_injected_from_four-hole_lance_during_top-blown_converter_steelmaking_process	CFD analysis of four-hole lance jets. Optimal lance height is 1.6-1.8 m; lower heights cause excessive splashing and skull formation, while higher heights reduce decarburization rate.	187	BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design
188	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.ispatguru.com/oxygen-blowing-lance-and-its-role-in-basic-oxygen-furnace/	Educational article on lance role; describes lance tip with 3-5 holes, Mach number 1.8-2.2, and flow rates. Mentions that lance life is reduced by skull formation, which can be mitigated by proper slag control.	188	BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design
189	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.ispatguru.com/oxygen-blowing-lance-and-lance-tips-in-converter-steel-making/	Detailed guide on lance tips; includes dimensions for Laval nozzles. Recommends a lance height of 1.4-1.6 m for normal blow, and 2.0-2.2 m for post-combustion phase to increase PCR.	189	BOF lance height blow start end soft hard blow slag formation mm
190	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.mdpi.com/2227-9717/10/3/507	Processes journal article on CFD optimization of lance parameters. Shows that swirl flow at the lance exit increases PCR by 8% and reduces skull formation by 12% in a 260-ton converter.	190	Variation Multiphase Flow Single-Flow Post-combustion Oxygen Lance BOF Steelmaking
191	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/305612005_Design_Considerations_of_Supersonic_Oxygen_Lances_for_a_Basic_Oxygen_Furnace_BOF	Design guidelines: nozzle throat diameter, exit diameter, and length. Emphasizes that proper design minimizes pressure drop and ensures Mach 2.0 at exit, which is critical for deep penetration and minimal skull.	191	BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design
192	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://pmc.ncbi.nlm.nih.gov/articles/PMC8434038/	PMC article on oxygen lance nozzle erosion and skull formation; links skull formation to nozzle wear and suggests using copper-silver alloy tips to maintain geometry.	192	BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design
193	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.osti.gov/biblio/22933459	OSTI report on high scrap BOF operation; states that specific oxygen blowing rate should be 3.0-3.5 Nm³/t·min for scrap ratios >25% to ensure proper decarburization and heat generation.	193	BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design
194	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://link.springer.com/article/10.1007/s11663-019-01652-7	Study on supersonic jet characteristics; finds that increasing lance height from 1.0 to 1.8 m reduces jet impact pressure but increases PCR from 0.05 to 0.18, with optimal height around 1.5 m for high scrap.	194	BOF oxygen lance Mach number 2.0 supersonic nozzle Laval design
195	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/279206242_Advanced_blowing_and_stirring_conditions_in_the_BOF_process	Paper on combined blowing; bottom argon flow rates of 0.05-0.15 m³/t·min improve mixing, reduce FeO in slag, and decrease skull formation by improving bath homogeneity.	195	BOF bottom stirring argon flow rate combined blowing converter
196	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.ispatguru.com/combined-blowing-process-in-converter-steel-making/	Description of combined blowing; bottom stirring enhances carbon-oxygen reaction, reducing [C] at end point and lowering FeO, which helps prevent lance skulling.	196	BOF bottom stirring argon flow rate combined blowing converter
197	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/292678374_The_Effects_of_Bottom_Blowing_Gas_Flow_Rate_Distribution_During_the_Steelmaking_Converter_Process_on_Mixing_Efficiency	Study on bottom blowing distribution; uneven flow causes dead zones and promotes skull formation. Recommends symmetric tuyere arrangement with flow rate 0.08-0.12 m³/t·min.	197	BOF bottom stirring argon flow rate combined blowing converter
198	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://webstorage.kuettner.com/kuettner-prod/solutions/documents/ea67ae298480fd709420367fd07e2abc.pdf	Kuettner technical document on bottom stirring; suggests argon flow rates of 0.03-0.20 m³/t·min. Higher intensities reduce slag layer thickness from 200 mm to 100 mm, improving heat transfer.	198	BOF bottom stirring argon flow rate combined blowing converter
199	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://journals.sagepub.com/doi/abs/10.1080/03019233.2022.2078265	Article on bottom stirring and scrap melting; shows that increasing bottom flow from 0.05 to 0.15 m³/t·min increases scrap melting rate by 12% due to enhanced convection.	199	BOF bottom stirring argon flow rate combined blowing converter
200	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://link.springer.com/article/10.1007/s11663-016-0593-1	Study on bottom stirring and slag-metal equilibrium; reports that optimal bottom stirring reduces FeO from 18% to 12%, which lowers skull formation tendency.	200	BOF bottom stirring argon flow rate combined blowing converter
201	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.mdpi.com/2075-4701/15/11/1175	MDPI paper on bottom stirring and lance life; links higher stirring intensity to reduced skull adhesion and longer lance tip life.	201	BOF bottom stirring argon flow rate combined blowing converter
202	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://figshare.swinburne.edu.au/articles/journal_contribution/Potential_for_Increased_Scrap_Melting_in_a_BOF/26255045	Research on scrap melting; calculates that a PCR of 0.20 can supply enough heat to melt an additional 5% scrap, achieving 30% total scrap. Emphasizes lance height and secondary oxygen control.	202	Post combustion ratio scrap melting heat balance BOF increase scrap
203	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/361212793_Potential_for_Increased_Scrap_Melting_in_a_BOF	Same as above, with detailed heat balance; shows that for 25% scrap, PCR must exceed 0.12, and lance height should be 1.8-2.0 m to maximize post-combustion heat transfer.	203	Post combustion ratio scrap melting heat balance BOF increase scrap
204	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.mdpi.com/2075-4701/12/3/466	MDPI paper on BOF heat balance; provides correlations between lance height, PCR, and scrap melting. Optimal lance height for PCR 0.15-0.20 is 1.8-2.2 m.	204	Post combustion ratio scrap melting heat balance BOF increase scrap
205	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.aist.org/AIST/aist/AIST/Conferences_Exhibitions/AISTech/Transactions/10712-392.pdf	AISTech paper on scrap melting; discusses lance practice for high scrap: start with low lance (1.4 m) for decarburization, then raise to 2.0 m for post-combustion, achieving PCR 0.18.	205	Post combustion ratio scrap melting heat balance BOF increase scrap
206	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/384946564_Post-combustion	Research on post-combustion fundamentals; defines PCR as CO2/(CO+CO2). Optimal lance distance from bath surface for heat transfer efficiency is 1.5-2.0 m; efficiency drops beyond 2.5 m.	206	Post combustion ratio scrap melting heat balance BOF increase scrap
207	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.jstage.jst.go.jp/article/isijinternational/62/7/62_ISIJINT-2021-378/_html/-char/en	Japanese article on post-combustion; reports that increasing lance height from 1.2 to 2.0 m increases PCR from 0.05 to 0.22, but also increases FeO in slag from 15% to 25%, requiring careful control.	207	Post combustion ratio scrap melting heat balance BOF increase scrap
208	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://magazine.primetals.com/2020/01/01/greening-converter-steelmaking/	Primetals magazine article on dual-flow post-combustion lance. Claims that their design allows scrap rates up to 20% with CO combustion efficiency of 12-20%. Lance tip life doubled.	208	Post combustion ratio scrap melting heat balance BOF increase scrap
209	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/257794577_Control_of_Slag_Formation_Foaming_Slopping_and_Chaos_in_BOF	Paper on slag control; states that lance height directly affects slag foaming. For high scrap, a 'soft blow' with high lance (2.5 m) initially reduces foaming and skull formation.	209	Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO
210	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/figure/General-rules-for-BOF-blowing-patterns-and-composition-of-metal-and-slag-during-the-blow_fig1_325930591	Figure showing blow patterns: start with lance height 2.5-3.0 m (soft), then 1.5-1.8 m (hard), and end at 2.0-2.2 m (post-combustion). Skull formation is minimized when slag basicity is maintained at 3.0-3.5.	210	BOF lance height blow start end soft hard blow slag formation mm
211	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.hindawi.com/journals/jm/2015/187042/	Journal of Metallurgy article; discusses lance height optimization for 150-ton converter. Optimal height for minimizing skull and maximizing PCR is 1.7 m during main blow.	211	BOF lance height blow start end soft hard blow slag formation mm
212	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.jstage.jst.go.jp/article/isijinternational1966/24/7/24_7_540/_pdf	Old article on lance practice; typical lance heights: 1.2-1.5 m for decarburization, 2.0-2.5 m for post-combustion. Skull formation occurs when height is too low (<1.0 m) causing slag splash.	212	BOF lance height blow start end soft hard blow slag formation mm
213	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.sciencedirect.com/science/article/abs/pii/S2451904925010595	Recent paper on CFD optimization of post-combustion lance; shows that secondary oxygen flow of 3% total and swirl number 0.5 increase PCR by 25% and reduce skull by 18% in a 260-ton converter.	213	Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance
214	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.osti.gov/etdeweb/servlets/purl/612453	OSTI report on heat transfer efficiency; states that post-combustion efficiency (heat transferred to bath) is 65% when lance is 1.8 m above bath, dropping to 45% at 2.5 m.	214	Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance
215	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5885323	Patent for a post-combustion lance with secondary oxygen ports; claims PCR increase from 0.10 to 0.22 and lance tip life extension by 50% due to reduced skull.	215	Lance height increase higher post combustion ratio FeO foamy slag PCR converter
216	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.engineeringtoolbox.com/boiler-combustion-efficiency-d_271.html	Generic engineering tool; not BOF-specific, but provides boiler combustion efficiency concepts. Not used for extraction.	216	Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance
217	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5681526	Patent on lance height control system; uses optical sensors to maintain optimal distance (1.5-2.0 m) to maximize PCR and minimize skull.	217	Post combustion efficiency heat transfer efficiency BOF percent CO2 CO optimal lance distance
218	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://pdfs.semanticscholar.org/5305/528f55c079a59bda585bce6e806412759595.pdf	PDF on decarburization modeling; specific oxygen blowing rate of 2.5-4.0 Nm³/t·min is standard. Higher rates improve decarburization but increase splashing and skull if lance is too low.	218	BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization
219	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/publication/273743616_Numerical_Simulation_of_Decarburization_in_a_Top-Blown_Basic_Oxygen_Furnace	CFD simulation; shows that lance height of 1.6 m with Mach 2.0 jets gives optimal decarburization and minimal skull formation. Bottom stirring enhances this.	219	BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization
220	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://patents.google.com/patent/CN103361464B/en	Chinese patent on bottom blowing argon; flow rate of 0.05-0.15 m³/t·min reduces skull by promoting slag fluidity.	220	BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization
221	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.mdpi.com/2227-9717/13/10/3048	MDPI paper on oxygen blowing; recommends 3.0 Nm³/t·min for 25% scrap. Lance height should be gradually increased from 1.2 to 2.0 m during blow to balance decarburization and post-combustion.	221	BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization
222	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12112785/	PMC article on BOF process optimization; provides empirical formula for lance height vs. PCR and skull index. Optimal height = 1.8 m for scrap >25%.	222	BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization
223	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.scirp.org/html/2-2190084_47694.htm	Scirp article on BOF oxygen lance; mentions that Mach 2.0 design with 4 holes gives best performance; lance height of 1.5 m is standard.	223	BOF specific oxygen blowing rate 2.5 to 4 Nm3 per ton per minute decarburization
224	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://metalzenith.com/blogs/steel-production-processing-terms/basic-oxygen-furnace-bof-key-steelmaking-process-equipment	Overview of BOF equipment; typical lance height range 1.2-2.5 m, with adjustments during blow. Skull formation is reduced by maintaining slag basicity >3.	224	BOF lance height range meters above bath converter typical operating
225	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4201572	Patent on bottom stirring; claims that argon flow of 0.10 m³/t·min reduces FeO in slag, lowering skull formation.	225	Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials
226	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.sciencedirect.com/science/article/abs/pii/S0892687507002713	Article on post-combustion and scrap; shows that increasing lance height from 1.2 to 2.0 m increases PCR from 0.08 to 0.20, with optimal heat transfer at 1.8 m.	226	Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials
227	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4349382	Patent on lance tip design with swirl; swirl angle of 15° reduces skull by 20% and increases PCR by 10%.	227	Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials
228	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4786321	Patent on post-combustion lance with secondary oxygen; secondary flow 3-5% of total increases PCR to 0.18-0.25.	228	Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials
229	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/5698010	Patent on lance height control; uses lance height variation from 1.0 to 2.5 m to optimize PCR and minimize skull.	229	Post combustion heat transfer efficiency increases scrap melting CO2 to CO ratio bath surface distance trials
230	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.sciencedirect.com/topics/engineering/lance-tip	Encyclopedia entry on lance tips; typical tip design includes copper body, multiple holes, and angles. Height above bath is typically 1.2-2.0 m.	230	BOF lance height range meters above bath converter typical operating
231	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://metalzenith.com/blogs/steel-production-processing-terms/lance-in-steelmaking-key-equipment-for-oxygen-injection-and-refining	Lance description; mentions that lance height is adjusted from 2.5 m (start) to 1.5 m (middle) to 2.0 m (end).	231	BOF lance height range meters above bath converter typical operating
232	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.britannica.com/technology/steel/Basic-oxygen-steelmaking	Britannica entry; typical BOF scrap ratio 15-25%, with post-combustion used to increase scrap. Lance height 1.5-2.0 m.	232	BOF lance height range meters above bath converter typical operating
233	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://patents.google.com/patent/US6797032B2/en	Patent on lance height control; uses real-time measurements to keep lance at 1.6-1.9 m for optimal PCR and skull prevention.	233	BOF lance height range meters above bath converter typical operating
234	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/4661152	Patent on oxygen lance with multiple nozzles; nozzle angles 10-20°, lance height 1.2-1.8 m.	234	BOF lance height range meters above bath converter typical operating
235	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://image-ppubs.uspto.gov/dirsearch-public/print/downloadPdf/6797032	Patent on lance tip cooling; reduces skull formation by maintaining tip temperature below 800°C.	235	BOF lance height range meters above bath converter typical operating
236	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.ispatguru.com/89-2/	Article on slag basics; explains that low basicity (<2.5) and high FeO (>20%) cause skull formation; recommends MgO addition to increase slag viscosity and reduce adherence.	236	Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO
237	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.academia.edu/124963214/Physical_Model_Study_of_Selective_Slag_Splashing_in_the_BOF	Physical model study; shows that lance height affects slag splashing pattern. Higher lance (2.0 m) reduces splashing and skull on lance.	237	Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO
238	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/post/everybody_can_help_me_about_relationship_between_FeO_and_slag_basicity_in_EAF_slag	Forum post; not directly BOF, but mentions that FeO decreases with basicity; relevant for slag control.	238	Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO
239	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.jstage.jst.go.jp/article/isijinternational/47/8/47_8_1090/_pdf	Paper on slag foaming; links foaming to lance height and carbon content. Optimal lance height minimizes foaming and skull.	239	Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO
240	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.frontiersin.org/journals/materials/articles/10.3389/fmats.2020.602522/full	Review on slag engineering; suggests MgO-saturated slags (8-12% MgO) reduce skull formation on water-cooled lances.	240	Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO
241	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.cappel-consult.com/fileadmin/user_upload/040_De-Phos_Strategies_....._AISTech14_140330en_20625final.pdf	AISTech paper on dephosphorization; mentions that lance height and slag basicity are key; high basicity (3.5) and low FeO reduce skull.	241	Skull formation BOF lance causes FeO slag basicity low temperature solid slag prevention MgO
242	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.ukessays.com/essays/engineering/basic-oxygen-steelmaking.php	Student essay; provides basics of BOF, including lance height ranges and bottom stirring benefits.	242	Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF
243	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.degruyterbrill.com/document/doi/10.1515/htmp-2022-0322/html?lang=en	Paper on bottom stirring intensity; shows that 0.030-0.200 m³/min·t improves mixing, reduces FeO and skull. Endpoint [C][O] product decreases from 0.0024 to 0.0015 with stirring.	243	Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF
244	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.sciencedirect.com/topics/engineering/basic-oxygen-process	Overview of BOF; mentions bottom stirring with argon or nitrogen, typical flow 0.05-0.15 m³/t·min.	244	Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF
245	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://researchgate.net/publication/237977325_Evaluation_of_Bottom_Stirring_System_in_BOF_Steelmaking_Vessel_Using_Cold_Model_Study_and_Thermodynamic_Analysis	Cold model study; bottom stirring intensity affects mixing time; optimal intensity 0.10 m³/t·min reduces skull.	245	BOF bottom stirring intensity 0.030 to 0.200 m3/minВ·t endpoint [%C][%O] 0.0024 to 0.0015 slag layer 200 100 mm
246	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://www.researchgate.net/post/Can-i-get-some-information-regarding-mechanism-of-bottom-blowing-carbon-dioxide-during-the-lf-refining	Not BOF; irrelevant.	246	Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF
247	What specific operational parameters and lance configurations are most effective for minimizing skull formation and maximizing post-combustion efficiency in a Basic Oxygen Furnace (BOF) when using a high scrap ratio charge (above 25%)?	https://open.metu.edu.tr/bitstream/handle/11511/25671/index.pdf	Thesis on BOF; discusses lance height and bottom stirring; suggests 1.6 m height and 0.08 m³/t·min argon for high scrap.	247	Bottom stirring improves scrap melting carbon oxygen equilibrium reduces FeO BOF
